file,type,use,status
01_BRAND/logo-primary.png,brand,"Стартовый экран, боковая панель, бренд",APPROVED
02_ROLES/role-child.png,role,"Ребёнок (единая серия с role-parent/role-master; мальчик, стандартный fallback без фото)",APPROVED
02_ROLES/role-child-varya.png,role,"Ребёнок (девочка, стандартный fallback без фото)",APPROVED
02_ROLES/role-parent.png,role,"Родитель (единая серия с role-child/role-master)",APPROVED
02_ROLES/role-master.png,role,"Мастер (единая серия с role-child/role-parent, портрет по фото)",APPROVED
03_ICONS/CIRCLE_PERSONAL/icon-profile.png,icon,profile,APPROVED
03_ICONS/CIRCLE_PERSONAL/icon-achievements.png,icon,achievements,APPROVED
03_ICONS/CIRCLE_PERSONAL/icon-events.png,icon,events,APPROVED
03_ICONS/CIRCLE_PERSONAL/icon-help.png,icon,help,APPROVED
03_ICONS/HEX_SKILLS/icon-carpentry.png,icon,carpentry,EXTRACTED_FROM_ICON_SYSTEM_SHEET
03_ICONS/HEX_SKILLS/icon-electricity.png,icon,electricity,APPROVED
03_ICONS/HEX_SKILLS/icon-safety.png,icon,safety,EXTRACTED_FROM_ICON_SYSTEM_SHEET
03_ICONS/HEX_SKILLS/icon-tools.png,icon,tools,EXTRACTED_FROM_ICON_SYSTEM_SHEET
03_ICONS/HEX_SKILLS/icon-skills.png,icon,"Не используется на childHome с версии HOME_CHILD_V2 (см. ниже) - оставлен на диске, файл не удалён",APPROVED
03_ICONS/SQUARE_WORK/icon-projects.png,icon,"projects (не используется на childHome с версии HOME_CHILD_V2 - см. ниже)",APPROVED
03_ICONS/SQUARE_WORK/icon-tasks.png,icon,"tasks (не используется на childHome с версии HOME_CHILD_V2 - см. ниже)",APPROVED
03_ICONS/SQUARE_WORK/icon-lessons.png,icon,"lessons (не используется на childHome с версии HOME_CHILD_V2 - см. ниже)",APPROVED
03_ICONS/SQUARE_WORK/icon-day.png,icon,"day (не используется на childHome с версии HOME_CHILD_V2 - см. ниже)",APPROVED
03_ICONS/HOME_CHILD_V2/icon-home-projects.png,icon,"childHome «Мастерская» - Проекты (единый утверждённый комплект HOME_CHILD_V2)",APPROVED
03_ICONS/HOME_CHILD_V2/icon-home-skills.png,icon,"childHome «Мастерская» - Навыки (единый утверждённый комплект HOME_CHILD_V2)",APPROVED
03_ICONS/HOME_CHILD_V2/icon-home-achievements.png,icon,"childHome «Мастерская» - Достижения (единый утверждённый комплект HOME_CHILD_V2)",APPROVED
03_ICONS/HOME_CHILD_V2/icon-home-tasks.png,icon,"childHome «Мастерская» - Задания (единый утверждённый комплект HOME_CHILD_V2)",APPROVED
03_ICONS/HOME_CHILD_V2/icon-home-lessons.png,icon,"childHome «Мастерская» - Уроки (единый утверждённый комплект HOME_CHILD_V2)",APPROVED
03_ICONS/HOME_CHILD_V2/icon-home-myday.png,icon,"childHome «Мастерская» - Мой день (единый утверждённый комплект HOME_CHILD_V2)",APPROVED
04_SKETCHES_AND_IMAGES/sketch-birdhouse.png,image,Скетч текущего проекта,APPROVED
